kode,harga_user
G1100020AJ101,1914750
G1100020AJ105,1914750
G1100020AJ301,1914750
G11000R20AJ101,1959150
G11000R20AJ104,1970250
G1110020AJ101,1953600
G1110020LL220,1833333.33
G11100R20AJ101,1959150
G11100R20AJ104,1970250
G111R225AJ101,1959150
G111R225AJ104,1970250
G175016AJ101,1121100
G1750R16AJ101,1133125
G182516AJ101,1093750
G190020AJ101,1534020
VG100020AJ101,1032300
VG100020AJ301,1032300
VG1000R20AJ101,1104450
VG1000R20AJ104,1104450
VG1100020AJ105,1032300
VG110020AJ101,1121100
VG110020AJ104,781250
VG1100R20AJ101,1154400
VG1100R20AJ104,1154400
VG111R225AJ101,1143300
VG111R225AJ104,1143300
VG129580R225AJ104,1416666.67
VG175016AJ101,721500
VG1750R16AJ101,719187.5
VG190020AJ101,965700
VG31580R225AJ104,1218348.96
